geo,year,life_expectancy
PL,2024,78.5
PT,1960,64.0
PT,1961,62.7
PT,1962,64.2
PT,1963,64.8
PT,1964,64.9
PT,1965,65.8
PT,1966,65.3
PT,1967,66.1
PT,1968,66.4
PT,1969,66.0
PT,1970,66.7
PT,1971,66.4
PT,1972,68.4
PT,1973,67.6
PT,1974,68.2
PT,1975,68.4
PT,1976,69.0
PT,1977,70.1
PT,1978,70.5
PT,1979,71.3
PT,1980,71.5
PT,1981,71.8
PT,1982,72.5
PT,1983,72.4
PT,1984,72.7
PT,1985,73.0
PT,1986,73.4
PT,1987,73.8
PT,1988,73.8
PT,1989,74.4
PT,1990,74.1
PT,1991,74.1
PT,1992,74.7
PT,1993,74.6
PT,1994,75.5
PT,1995,75.4
PT,1996,75.3
PT,1997,75.8
PT,1998,76.0
PT,1999,76.2
PT,2000,76.8
PT,2001,77.2
PT,2002,77.4
PT,2003,77.5
PT,2004,78.4
PT,2005,78.2
PT,2006,79.0
PT,2007,79.3
PT,2008,79.5
PT,2009,79.7
PT,2010,80.1
PT,2011,80.7
PT,2012,80.6
PT,2013,80.9
PT,2014,81.3
PT,2015,81.3
PT,2016,81.3
PT,2017,81.6
PT,2018,81.5
PT,2019,81.9
PT,2020,81.5
PT,2021,81.5
PT,2022,81.8
PT,2023,82.5
PT,2024,82.5
RO,1960,
RO,1961,
RO,1962,
RO,1963,
RO,1964,
RO,1965,
RO,1966,
RO,1967,
RO,1968,68.2
RO,1969,67.4
RO,1970,68.2
RO,1971,68.7
