freq,unit,sex,age,geo\TIME_PERIOD	1960 	1961 	1962 	1963 	1964 	1965 	1966 	1967 	1968 	1969 	1970 	1971 	1972 	1973 	1974 	1975 	1976 	1977 	1978 	1979 	1980 	1981 	1982 	1983 	1984 	1985 	1986 	1987 	1988 	1989 	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 	2025 
A,NR,T,Y50-54,SM	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2520 	2630 	: 	: 	: 	: 	3178 	: 	: 	: 	: 	: 	: 	: 
A,NR,T,Y50-54,TR	1103872 	1116046 	1129760 	1145089 	1162117 	1180932 	1129647 	1081494 	1036233 	993652 	953548 	1015767 	1082782 	1155017 	1232937 	1317058 	1376366 	1444006 	1521005 	1608534 	1707918 	1758252 	1812933 	1872246 	1936499 	2006026 	1998719 	1993029 	1988946 	1986450 	1985541 	2136071 	2156040 	2169535 	2184042 	2205573 	2239107 	2284134 	2341676 	2416228 	2507270 	2608000 b	2726000 	2855000 	2987000 	3122000.0 	3257000.0 	3394000.0 	3565669.0 	3643173.0 	3725743.0 	3706289 	3792436 	4039198 	4232792 	4438422 	4632909 	4756244 	4675455 	4701324 	4675373 	4584632 	4754484 	5054624 	5272666 	5465382 
A,NR,T,Y50-54,UA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3257887.0 	3273944.0 	3291399.0 	3366046.0 	3398490.0 	3485581 	3505998 	3500369 	3450412 	3178225 	3036693 	2925578 	2823735 	2743877 	2695515 	2717322 	2736970 	: 	: 	: 
A,NR,T,Y50-54,UK	3600000 	3600000 	3600000 	3600000 	3600000 	3600000 	3570700 	3481700 	3340400 	3168700 	3134900 	3243500 	3363348 	3493302 	3620328 	3603647 	3476957 	3380659 	3308928 	3257296 	3221234 	3193536 	3164734 	3131773 	3092297 	3055790 	3029928 	3018543 	3032366 	3065232 	3091047 	3084185 	3076426 	3113112 	3187683 	3280285 	3397154 	3605526 	3823290 	3939191 	3999756 	4022051 	3938348 	3799464 	3718723 	3683512.0 	3682922.0 	3719758.0 	3785929.0 	3866228.0 	3957280.0 	4063519 	4177918 	4290027 	4401148 	4511704 	4598661 	4650051 	4671514 	4668822 	: 	: 	: 	: 	: 	: 
A,NR,T,Y55-59,AD	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2020 	2139 	2247 	2412 	2394 	2469 	2601 	2680 	2747 	2659 	2730 	2677 	2793 	3057 	3319 	3399 	3614 	3825 	4087 	4281.0 	4417.0 	4507.0 	4658.0 	4770.0 	4904.0 	4650 	4650 	4642 	: 	: 	: 	: 	: 	5926 	: 	: 	: 	: 	: 	: 
A,NR,T,Y55-59,AL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	118697 	116616 	118534 	125526.0 	135385.0 	143761.0 	145469.0 	149437.0 	154191.0 	161497 	169548 	178444 	185103 	191264 	195080 	200892 	204061 	206653 	203119 	198625 	: 	190628 	: 	174144 
A,NR,T,Y55-59,AM	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	133590.0 	144805.0 	154781.0 	163821.0 	175176.0 	: 	: 	: 	: 	207091 	215015 	219156 	217266 	212437 	204935 	193612 	: 	: 	178314 	: 
A,NR,T,Y55-59,AT	492036 	492580 	492583 	488752 	486817 	484481 	483262 	476585 	475372 	468929 	459379 	428350 	388567 	342183 	303430 	288296 	311875 	352755 	396809 	436411 	453578 	453294 	446316 	436172 	430633 	424625 	420881 	416198 	412162 	402391 	391742 	378447 	370328 	364524 	369137 	410668 	457523 	494449 	515082 	529015 	509411 	464539 	445121 	455192 	463797 	468378.0 	492997.0 	499273.0 	492098.0 	488430.0 	491070.0 	500445 	520503 	538401 	558076 	580836 	603249 	622986 	644612 	666885 	685485 	698683 	705784 	711615 	713003 	708833 
A,NR,T,Y55-59,AZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	255300.0 	280100.0 	304100.0 	323100.0 	348038.0 	372558 	407247 	443530 	492221 	536343 	580755 	608829 	632358 	643724 	645895 	638889 	634570 	600656 	597380 	598055 
A,NR,T,Y55-59,BE	602249 	604812 	590796 	589532 	589422 	585641 	582528 	575920 	573328 	569795 	567200 	543044 	509228 	460325 	414809 	399069 	431974 	478692 	530392 	584228 	609998 	606989 	603938 	600726 	596388 	591259 	593474 	596094 	597545 	595463 	589399 	575146 	561596 	551948 	551950 	550460 	542480 	524198 	511947 	509194 	514710 	529034 	575266 	612865 	638422 	656486.0 	675073.0 	672805.0 	676975.0 	680408.0 	689451.0 	702335 	715866 	726692 	739423 	753004 	763475 	773690 	782337 	791327 	800140 	804220 	803330 	800053 	792023 	781444 
A,NR,T,Y55-59,BG	398526 	402366 	423878 	436760 	448301 	454496 	471245 	469041 	481181 	456826 	475047 	473772 	442191 	381491 	372876 	353854 	370954 	424483 	497144 	548130 	578894 	584962 	598604 	594760 	598824 	584438 	585464 	571175 	575757 	573245 	574644 	563535 	557866 	535881 	516584 	490667 	479472 	470015 	467872 	469392 	474080 	481795 	507613 	519865 	535742 	558103.0 	572133.0 	561375.0 	557716.0 	551387.0 	538702.0 	525355 	524881 	522830 	512748 	506595 	497656 	489500 	485527 	480395 	471799 	462668 	447435 	439672 	445981 	454879 
A,NR,T,Y55-59,BY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	552124.0 	584424.0 	601898.0 	609865.0 	: 	630571 	646080 	666209 	696903 	715939 	732600 	742446 	741293 	728162 	: 	: 	: 	: 	: 	: 
A,NR,T,Y55-59,CH	308100 	313529 	317185 	319835 	326298 	330299 	333752 	333698 	335880 	333896 	333121 	325544 	318429 	307939 	299979 	294019 	303510 	314881 	326225 	337081 	346051 	346410 	346164 	346572 	347046 	348961 	351770 	353463 	356909 	360017 	363084 	364583 	367732 	367168 	369567 	372046 	375692 	382629 	396239 	411780 	428389 	443867 	456885 	466820 	473987 	477161.0 	480114.0 	476435.0 	476709.0 	477116.0 	481840.0 	486836 	499696 	512120 	527148 	543463 	560277 	575812 	591887 	610732 	630020 	644500 	655329 	659955 	661597 	655573 
A,NR,T,Y55-59,CY	: 	22064 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	25486 	: 	: 	19223 	: 	: 	: 	: 	: 	21728 	21801 	22121 	22463 	22760 	23092 	23414 	23767 	24387 	25212 	26109 	27029 	27881 	28668 	29569 	30597 	31808 	33227 	34852 	36495 	35301 	36874 	38936 	41084.0 	43083.0 	44624.0 	45812.0 	46511.0 	47110.0 	47915 	48933 	49912 	51049 	52726 	54336 	55583 	56880 	57936 	58227 	57698 	57733 	58238 	58937 	59143 
A,NR,T,Y55-59,CZ	626372 	616355 	626826 	630363 	640010 	650172 	662618 	662693 	662804 	658583 	646424 	598302 	532105 	461065 	386679 	364149 	397487 	462371 	533055 	604828 	630158 	631326 	621298 	607379 	594262 	584036 	580620 	574222 	568972 	556164 	541471 	521065 	502568 	487506 	482926 	484624 	501986 	522387 	547581 	583573 	619194 	634217 	678805 	723344 	746377 	760219.0 	783983.0 	780652.0 	772109.0 	766515.0 	763773.0 	756613 	745595 	730876 	709023 	680114 	653439 	631422 	617823 	628207 	653501 	663917 b	673023 	688078 	683047 	677244 
A,NR,T,Y55-59,DE	3764940 	3830309 	3875460 	3897897 	3944602 	3963346 	3957021 	3918834 	3903879 	3858853 	3792145 	3580737 	3260358 	2870440 	2516418 	2379914 	2574079 	2900699 	3229221 	3502409 	3589513 	3551213 	3502359 	3489320 	3555720 	3603910 	3624280 	3604245 	3584848 	3506002 	3593973 	4688634 	4919520 	5194001 	5543100 	5782202 	5975391 	6061548 	5910052 	5712749 	5424896 	4875852 	4496158 	4439326 	4417135 	4498430.0 	4853457.0 	5107449.0 	5271033.0 	5372216.0 	5423912.0 	5383155 b	5465592 	5563619 	5688892 	5853132 	6038640 	6223126 	6401516 	6598218 	6737305 	6817318 	6846797 	6796205 b	6719765 	6573588 
A,NR,T,Y55-59,DK	255985 	259950 	263974 	267253 	272777 	279026 	282614 	286097 	289815 	290299 	288720 	285471 	282749 	278747 	277191 	273418 	280950 	285674 	286683 	287246 	289570 	282028 	276178 	272907 	269090 	263481 	260371 	257027 	255360 	252807 	253874 	254378 	257525 	262023 	268565 	273499 	280690 	287403 	299852 	314674 	335048 	356683 	379138 	391626 	395011 	388976.0 	379669.0 	365498.0 	355236.0 	351519.0 	350004.0 	349543 	352243 	353381 	354046 	355781 	359474 	362210 	367613 	376994 	388538 	399520 	413339 	420559 	416858 	408582 
A,NR,T,Y55-59,EE	69825 	69172 	71308 	71213 	71487 	71955 	73620 	73487 	74089 	74363 	74316 	71522 	66844 	60619 	58667 	55485 	55420 	59737 	66375 	70493 	75569 	80170 	83691 	87478 	90797 	93095 	95742 	96663 	96631 	93682 	91201 	89144 	88343 	88485 	90279 	91864 	90915 	91484 	87541 	81243 	77530 	73220 	70190 	71580 	75960 	81290.0 	85310.0 	87020.0 	87560.0 	87340.0 	86930.0 	88100 	88169 	88342 	88964 	88480 b	88728 	89106 	89278 	88719 	87640 	85566 	83564 	83015 	83393 	83706 
A,NR,T,Y55-59,EL	452904 	350832 	477106 	366488 	492305 	380802 	503490 	389284 	530338 	410692 	530471 	484943 	477975 	460821 	440799 	432500 	426051 	435150 	441902 	459918 	478126 	498686 	522156 	555606 	592666 	620100 	631035 	643850 	651392 	655114 	659382 	671383 	674250 	665307 	665606 	650648 	653422 	614694 	596772 	562580 	561396 	556873 	583942 	612452 	634969 	647680.0 	651268.0 	652382.0 	653059.0 	654369.0 	659982.0 	670680 	680070 	685822 	697196 	707641 	712322 	715104 	719441 	718583 	717651 	720269 	739317 b	759172 	778434 	789190 
A,NR,T,Y55-59,ES	1453584 	: 	1502798 	1525994 	1550759 	1577532 	1605260 	1609712 	1615423 	1617936 	1616625 	1630895 	1623356 	1612711 	1619042 	1611795 	1667881 	1736465 	1828953 	1901744 	1990791 	2032422 	2075450 	2086726 	2125852 	2149271 	2193245 	2209479 	2250894 	2268208 	2266664 	2240908 	2247677 	2185634 	2075451 	1940736 	1960383 	1875551 	1869978 	1971325 	2119782 	2142935 	2233397 	2324147 	2400402 	2449834.0 	2455237.0 	2495181.0 	2550182.0 	2555047.0 	2578223.0 	2645892 	2720824 	2793041 	2874610 	2973968 	3068177 	3145737 	3199631 	3267118 	3362147 	3424428 	3493906 	3583098 	3643908 	3673949 
A,NR,T,Y55-59,EU27_2020	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	23015564 	23547795 	24485301 	25402265 	26304878.0 	27622526.0 	27988447.0 	28338602.0 	28534803.0 	28681972.0 	28790375 	29124604 	29469632 	29785454 be	30075259 be	30312836 be	30520989 be	30702423 e	31031871 	31398157 e	31547485 bep	31769589 ep	32064605 bep	32231216 ep	32196051 ep
A,NR,T,Y55-59,FI	217905 	222817 	228700 	235821 	242896 	248828 	254676 	256956 	258224 	256640 	253044 	247313 	240178 	234660 	231831 	221509 	227320 	233769 	238210 	244946 	257433 	258819 	260998 	263763 	265476 	268257 	269654 	269110 	267091 	260096 	255274 	252434 	251058 	253661 	262399 	270468 	267867 	285534 	279074 	281074 	284194 	310083 	325664 	363817 	390583 	412327.0 	416888.0 	410077.0 	403762.0 	394516.0 	388165.0 	384108 	383809 	379195 	374239 	370897 	368110 	365424 	364798 	368233 	368871 	367783 	366313 	364009 	360032 	352108 
A,NR,T,Y55-59,FR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3043914 	3001963 	2946883 	2917168 	2881735 	2831989 	2754659 	2741016 	2768679 	2815418 	2900004 	3202945 	3491723 	3754814 	4003614.0 	4252309.0 	4270251.0 	4266339.0 	4230863.0 	4205771.0 	4172108 	4182983 	4184730 	4212785 b	4233180 	4259584 	4275447 	4292459 p	4344690 	4387067 	4420139 	4451374 	4456072 p	4448166 p	4426272 p
A,NR,T,Y55-59,GE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	224889.0 	236833.0 	246652.0 	250997.0 	259732.0 	262527 	271506 	: 	285334 	236200 	253600 	258000 	261602 	262403 	258783 	251970 	241913 	234563 	228209 	223565 
A,NR,T,Y55-59,HR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	232436 	233025 	235212 	243561 	260907.0 	282360.0 	289028.0 	295840.0 	302959.0 	307339.0 	310855 	317481 	316712 	315420 	312276 	307721 	302844 	298736 	293175 	286194 	282335 	278654 	274000 	270581 	266785 
A,NR,T,Y55-59,HU	580612 	576940 	584817 	590896 	603559 	620501 	639777 	648912 	661855 	664444 	665574 	622300 	559476 	488206 	421820 	410645 	455057 	524055 	595208 	663816 	673973 	676480 	669955 	657477 	650546 	650427 	645193 	635701 	632876 	624795 	607543 	593440 	583960 	574218 	568982 	566291 	573544 	579830 	593348 	600747 	617607 	610416 	608303 	613776 	628001 	634628.0 	663498.0 	686184.0 	691922.0 	708555.0 	737394.0 	751031 	780868 	772352 	743540 	695603 	653899 	619129 	594819 	579297 	570824 	564634 	567130 	592451 	618163 	642680 
A,NR,T,Y55-59,IE	139900 	136800 	137600 	140100 	142300 	144400 	146500 	148100 	149300 	150600 	152300 	154300 	154800 	154800 	154900 	155100 	155100 	154900 	154300 	154100 	152213 	150100 	148700 	147400 	146100 	145239 	141525 	140669 	141441 	141447 	141445 	142295 	144261 	145215 	147302 	150754 	153282 	155526 	160852 	166757 	172739 	182930 	194427 	204240 	212055 	219542.0 	223429.0 	226863.0 	231321.0 	234956.0 	238576.0 	242213 	247025 	250151 	254542 	259193 	266249 	273413 	279020 	286217 	294440 	300091 	307216 	314883 	320667 	325844 
A,NR,T,Y55-59,IS	7042 	7165 	7405 	7516 	7556 	7605 	7651 	7738 	7970 	8112 	8195 	8325 	8392 	8477 	8634 	8642 	8867 	9184 	9356 	9576 	9801 	9875 	9937 	10078 	10136 	10350 	10729 	10898 	10955 	10874 	10815 	10461 	10270 	10166 	10113 	10046 	10053 	10175 	10650 	11277 	11953 	12801 	13549 	14177 	14827 	15493.0 	16239.0 	16976.0 	17435.0 	17870.0 	18202.0 	18543 	19116 	19652 	20062 	20626 	21030 	21159 	21532 	21837 	21965 	21958 	22407 	22629 	21855 	21735 
A,NR,T,Y55-59,IT	2550500 	2596400 	2665100 	2724000 	2846500 	2925700 	3025900 	3087200 	3167000 	3185000 	3184900 	3134800 	2968720 	2697939 	2413569 	2242120 	2344440 	2548883 	2851379 	3180876 	3413994 	3412813 	3420981 	3426860 	3420804 	3414077 	3456063 	3458690 	3439926 	3436656 	3442256 	3406222 	3400432 	3414033 	3464837 	3525244 	3580496 	3583970 	3555223 	3476841 	3370733 	3240186 	3350758 	3474812 	3622927 	3747671 	3883444 	3816058 	3756135 	3689385 	3690217 	3710147 	3771147 	3848124 	3920002 	3991998 	4071859 	4166061 	4263608 	4387417 b	4537491 	4623965 	4735135 	4810601 	4848988 	4833407 
A,NR,T,Y55-59,LI	761 	783 	819 	834 	860 	895 	934 	931 	963 	977 	: 	933 	: 	872 	867 	861 	896 	999 	1115 	1161 	1208 	1197 	1180 	1137 	1122 	1095 	1079 	1069 	1052 	1118 	1140 	1165 	1181 	1260 	1258 	1318 	1430 	1538 	1653 	1814 	1967 	1975 	2089 	2147 	2224 	2267.0 	2349.0 	2380.0 	2387.0 	2394.0 	2421.0 	2458 	2527 	2618 	2678 	2739 	2853 	2912 	2986 	3079 	3149 	3165 	3171 	3189 	3253 	3260 
A,NR,T,Y55-59,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	137077 	132107 	125907 	116137 	110577 	109096 	116854 	126554 	143305 	157863 	167586 	174222 	180293 	186862 	194371 	200917 	206236 	210234 	212106 	211497 	209895 	208101 	209326 	206793 	205754 	205135 	201223 	200422 	200733 	196675 	188723 	186959 	177597 	170124 	169076 	177066.0 	179249.0 	184472.0 	187798.0 	186833.0 	184915.0 	184958 	186393 	191612 	202104 	211281 	218887 	226126 	228342 	226022 	222425 	218574 	212032 	208050 	206240 	204412 
A,NR,T,Y55-59,LU	21194 	21319 	: 	: 	: 	21505 	: 	21818 	: 	: 	20876 	20646 	19636 	18175 	16906 	16213 	16573 	17362 	18110 	19278 	19749 	19874 	20295 	21083 	21773 	22593 	23349 	23583 	23301 	22967 	22332 	21719 	21415 	21420 	21599 	22046 	22262 	22186 	22471 	22880 	22830 	22308 	23168 	23912 	24848 	25965.0 	27055.0 	27476.0 	28116.0 	28706.0 	29666.0 	30591 	31757 	32840 	34130 	35370 	36917 	38415 b	39734 	41130 	42549 	43859 	44770 	45677 	46178 	46440 
A,NR,T,Y55-59,LV	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	131877 	125949 	116598 	105119 	100851 	95271 	97164 	104283 	115917 	123443 	131799 	139116 	145192 	151748 	157286 	161294 	164698 	166258 	165550 	162108 	161948 	161595 	154505 	154809 	158807 	163021 	163588 	163866 	159370 	151476 	142508 	132902 	124432 	121828 	122925 	127224.0 	131401.0 	134958.0 	135454.0 	133450.0 	131857.0 	132704 	133043 	135555 	139610 	141822 	143381 	144574 	143946 	141408 	138282 	133517 	129230 	126933 	125056 	123947 
A,NR,T,Y55-59,MC	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3138 	3180 
A,NR,T,Y55-59,MD	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	186343.0 	196152.0 	212879.0 	223987.0 	228954.0 	231129 	233095 	236976 	243191 	206836 be	209772 e	213552 e	212987 e	208807 e	202676 e	193004 e	173017 e	166225 ep	159792 ep	149755 ep
A,NR,T,Y55-59,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	27904 	28130 	28149 	28245 	28419 	30666.0 	34270.0 	36532.0 	37843.0 	39478.0 	40679.0 	41120 	41999 	42306 	42682 	42283 	42329 	42228 	42085 	41896 	41594 	41116 	40600 	39930 	39935 	39352 
A,NR,T,Y55-59,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	97685 	96034 	95785 	93106 	94394 	95184 	95148 	93752 	94411 	96387 	102205 	107299.0 	113613.0 	118708.0 	123299.0 	124788.0 	128118.0 	130158 	133523 	134001 	134995 	135722 	137042 	137305 	136613 	137168 	137938 	137892 	127738 b	127834 	126775 	125322 
A,NR,T,Y55-59,MT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	13690 	14005 	14343 	14804 	15396 	15059 	: 	15872 	15884 	15974 	15970 	16221 	16748 	16904 	17326 b	17676 	17804 	18063 	18480 	18277 	17352 	16409 	16921 	18911 	21716 	24750 	28238 	30244 	30434.0 	30996.0 	30608.0 	29993.0 	29327.0 	29028.0 	28835 	29293 	29670 	30201 	30650 	31178 	31274 	31325 	31159 	31097 	30196 	29353 	28686 	28682 	28551 
A,NR,T,Y55-59,NL	554935 	567931 	577285 	585137 	593989 	601992 	606831 	608271 	615280 	620834 	626879 	627295 	632677 	628821 	621582 	615266 	639771 	658284 	676217 	701170 	719816 	714038 	710353 	707330 	704793 	705032 	713497 	718333 	726540 	726277 	728440 	725716 	729166 	730068 	743373 	757123 	775667 	786778 	805273 	829287 	859446 	875129 	965141 	1038381 	1084753 	1114078.0 	1147612.0 	1111042.0 	1090011.0 	1081132.0 	1082844.0 	1090247 	1104542 	1115177 	1131309 	1151386 	1170614 	1191605 	1211510 	1231532 	1250592 	1263557 	1265493 	1267026 	1265062 	1269879 
A,NR,T,Y55-59,NO	202819 	204404 	206084 	207587 	209962 	214303 	217912 	221374 	225685 	228494 	229790 	230773 	231371 	233008 	234564 	233200 	241025 	244565 	245089 	245475 	246515 	236858 	231058 	223553 	216208 	209749 	206030 	201050 	198190 	193020 	188633 	183614 	181327 	180602 	184261 	189388 	195657 	199201 	207141 	217283 	232414 	248061 	271791 	287413 	297571 	300506.0 	301166.0 	294232.0 	292523.0 	293125.0 	295215.0 	298842 	305263 	308597 	311919 	315704 	317784 	319031 	322182 	325700 	331899 	339326 	347125 	355284 	364139 	370530 
A,NR,T,Y55-59,PL	1384500 	: 	: 	: 	: 	1609800 	: 	: 	: 	: 	1598800 	: 	: 	: 	: 	1136728 	: 	: 	: 	: 	1740814 	: 	: 	: 	: 	1978036 	: 	: 	: 	: 	1994729 	1950639 	1928086 	1896141 	1880240 	1866708 	1836824 	1780667 	1722236 	1668903 	1619718 	1587323 	1695398 	1865382 	2063265 	2264454.0 	2483272.0 	2604139.0 	2692941.0 	2755210.0 	2824762.0 	2876908 	2898139 	2915623 	2913850 	2890758 	2810764 	2710407 	2589297 	2474876 	2372474 	2255443 bep	2197134 ep	2157846 ep	2129748 ep	2120021 ep
A,NR,T,Y55-59,PT	416660 	409026 	420880 	426800 	434890 	430940 	450850 	450910 	457130 	453900 	462380 	442417 	427000 	407650 	401640 	394080 	446550 	457300 	473780 	497150 	521790 	531035 	539323 	542676 	547265 	545667 	550431 	551649 	560782 	562573 	565101 	567929 	566954 	563285 	563893 	564751 	556073 	544415 	540913 	541507 	547521 	564842 	579488 	592149 	611235 	623002.0 	630809.0 	645359.0 	661133.0 	660936.0 	667204.0 	674676 	675375 	679551 	688338 	694810 	705053 	717074 	725210 	731504 	742769 	745067 	746862 	750521 	754885 	755290 
A,NR,T,Y55-59,RO	: 	: 	: 	: 	: 	: 	: 	: 	1079031 	1086542 	1087051 	1046135 	973706 	842135 	712198 	699749 	771718 	887194 	1036188 	1151663 	1175550 	1230743 	1263131 	1285227 	1311054 	1315184 	1336791 	1340995 	1367155 	1360602 	1364758 	1345829 	1363062 	1346878 	1353726 	1348455 	1326590 	1264647 	1202791 	1133588 	1095368 	1043902 	1049611 	1055904 	1057490 	1062848.0 	1208501.0 	1209086.0 	1327613.0 	1465440.0 	1457373.0 	1453988 	1450352 	1448105 	1437753 	1393876 	1326224 	1254281 	1181022 	1116040 	1062251 e	1013972 e	1009412 e	1146370 e	1309707 e	1429769 e
A,NR,T,Y55-59,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	438197 	416922 	387368 	386614 	406061 	436604 	472691.0 	523243.0 	541767.0 	563916.0 	573938.0 	583941.0 	596853 	596304 	569602 	548931 	524659 	511358 	499395 	492903 	484075 	473301 	461806 	450881 	448037 b	441929 	440694 
A,NR,T,Y55-59,RU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	8590068.0 	8985204.0 	9349636.0 	9600108.0 	9747960.0 	10021759 	: 	: 	10634059 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,NR,T,Y55-59,SE	455428 	460671 	468061 	475764 	486371 	497442 	504704 	509202 	513775 	514204 	512023 	507908 	503383 	497539 	491245 	485276 	503781 	514788 	517190 	519805 	520026 	498789 	481452 	469165 	459785 	449262 	441705 	435674 	431934 	423394 	419478 	415357 	416442 	420192 	431774 	446695 	458223 	470829 	493454 	522308 	555368 	591181 	623397 	641522 	648428 	642686.0 	630482.0 	612857.0 	598262.0 	585906.0 	575354.0 	571439 	574437 	576186 	576035 	579308 	580194 	581418 	586614 	598967 	620108 	641673 	662638 	678719 	682501 	672297 
A,NR,T,Y55-59,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	99253 	101759 	104095 	106633 	110792 	114468 	116352 	116336 	116275 	113950 	113499 	111966 	111012 	110911 	110140 	109651 	111127 	112312 	111248 	105266 	105860 	107643 	110247 	116497.0 	129274.0 	135402.0 	140723.0 	146009.0 	149688.0 	151186 	153587 	153090 	151461 	150555 	149432 	148636 	148581 	149547 	150370 	152352 	153117 	153163 	152354 	150978 
A,NR,T,Y55-59,SK	200558 	209162 	211504 	214834 	221032 	227972 	232517 	235207 	238491 	237951 	236780 	223439 	201546 	176436 	150711 	146950 	161192 	192249 	225284 	259887 	269888 	272864 	269063 	264926 	260048 	258744 	259643 	258954 	259267 	255911 	251535 	246303 	239407 	233362 	231708 	232623 	235712 	240541 	244962 	248559 	253976 	256338 	259137 	272222 	287805 	300973.0 	322365.0 	343545.0 	357322.0 	368035.0 	378419.0 	384810 	387898 	388043 	386108 	380019 	373274 	366397 	358744 	356275 	357920 	356041 	353286 	349098 	341691 	336813 
