geo,year,net_migration_rate,natural_growth_rate,total_growth_rate
CY,2009,22.0,5.5538127564528885,27.55381275645289
CY,2010,19.2,5.735283345948189,24.93528334594819
CY,2011,21.3,4.90383458906271,26.203834589062712
CY,2012,-0.7,5.215710704387763,4.515710704387763
CY,2013,-11.6,4.867567398424298,-6.7324326015757014
CY,2014,-3.5,4.457973656794166,0.9579736567941657
CY,2015,-0.5,3.8462163964286296,3.3462163964286296
CY,2016,2.5,4.612370971700603,7.112370971700603
CY,2017,6.3,3.716613134255608,10.016613134255607
CY,2018,9.1,4.053034312503628,13.153034312503628
CY,2019,10.0,3.7171672691570605,13.717167269157061
CY,2020,9.4,3.8872864236410845,13.287286423641085
CY,2021,13.2,3.397574129884218,16.59757412988422
CY,2022,17.5,3.1212221596017913,20.621222159601793
CY,2023,14.4,3.686712661892941,18.086712661892943
CY,2024,10.6,3.3010301490637595,13.901030149063759
CY,2025,,,
CZ,1960,-11.1,3.633179218580097,-7.466820781419903
CZ,1961,0.5,3.768069401219213,4.268069401219213
CZ,1962,0.6,3.0434690738513037,3.643469073851304
CZ,1963,0.9,5.051860101091132,5.951860101091133
CZ,1964,0.5,5.40623077479032,5.90623077479032
CZ,1965,0.4,4.338677604275089,4.7386776042750895
CZ,1966,0.2,3.6091577404334316,3.809157740433432
CZ,1967,-0.3,2.996099917559233,2.6960999175592333
CZ,1968,-0.2,2.254407710678465,2.054407710678465
CZ,1969,-0.3,2.2770016161128206,1.9770016161128205
CZ,1970,-12.3,2.476966072893342,-9.823033927106659
CZ,1971,0.3,3.242209954731389,3.5422099547313888
CZ,1972,0.3,4.516067819034653,4.816067819034653
CZ,1973,0.5,5.794282694027541,6.294282694027541
CZ,1974,0.3,6.772273925147917,7.0722739251479165
CZ,1975,0.2,6.730257366350589,6.930257366350589
CZ,1976,0.3,6.157000643282032,6.457000643282032
CZ,1977,0.1,5.468321702973334,5.568321702973334
CZ,1978,0.2,5.067456941300024,5.267456941300024
CZ,1979,0.2,4.300608471389458,4.500608471389458
CZ,1980,-4.0,1.7705104729513907,-2.2294895270486093
CZ,1981,0.2,1.3631969090377207,1.5631969090377207
CZ,1982,0.2,1.0644649809646731,1.264464980964673
CZ,1983,0.2,0.28649808268158333,0.48649808268158334
CZ,1984,0.3,0.46027095656370787,0.7602709565637078
CZ,1985,0.2,0.4103000803181761,0.6103000803181762
CZ,1986,0.3,0.07456238119944857,0.37456238119944857
CZ,1987,0.3,0.35546768168463644,0.6554676816846364
CZ,1988,0.2,0.6736861550007599,0.87368615500076
CZ,1989,0.1,0.058783590864663185,0.1587835908646632
CZ,1990,-5.7,0.13491471132015492,-5.565085288679845
CZ,1991,0.3,0.49143067756004666,0.7914306775600466
CZ,1992,1.1,0.1326539280108078,1.232653928010808
CZ,1993,0.5,0.27504196569006434,0.7750419656900643
CZ,1994,1.0,-1.0445119432305727,-0.044511943230572726
CZ,1995,1.0,-2.1112610168369583,-1.1112610168369583
CZ,1996,1.0,-2.1640592542986647,-1.1640592542986647
CZ,1997,1.2,-2.1424683753838947,-0.9424683753838947
CZ,1998,0.9,-1.8440401490417875,-0.9440401490417875
CZ,1999,0.9,-1.9725702239178684,-1.0725702239178685
CZ,2000,-2.7,-1.760150564822402,-4.460150564822403
CZ,2001,-1.4,-1.6653591707684117,-3.065359170768412
CZ,2002,0.7,-1.5152165700013978,-0.8152165700013978
CZ,2003,2.0,-1.7270289597924935,0.2729710402075065
CZ,2004,1.3,-0.9330727046367329,0.3669272953632672
CZ,2005,3.0,-0.5615336231371071,2.438466376862893
CZ,2006,2.9,0.13596024170405327,3.035960241704053
CZ,2007,7.7,0.9748169365763387,8.674816936576338
CZ,2008,6.5,1.4136520776199597,7.913652077619959
CZ,2009,2.4,1.0480747585097445,3.4480747585097444
CZ,2010,1.4,0.9853673568794299,2.3853673568794296
CZ,2011,1.6,0.17402944730822217,1.7740294473082223
CZ,2012,1.0,0.036838039702268684,1.0368380397022687
CZ,2013,-0.1,-0.22907677495275114,-0.3290767749527511
CZ,2014,2.1,0.39905182622572405,2.499051826225724
CZ,2015,1.5,-0.0388109059594668,1.4611890940405332
CZ,2016,1.9,0.46551763182378214,2.3655176318237823
CZ,2017,2.7,0.27999342081631035,2.9799934208163106
CZ,2018,3.6,0.10518324363068807,3.705183243630688
CZ,2019,4.1,-0.012300700482638172,4.087699299517362
CZ,2020,2.5,-1.785029819227508,0.714970180772492
CZ,2021,4.8,-2.6773167298660026,2.1226832701339973
CZ,2022,30.9,-1.7990422287128471,29.100957771287153
CZ,2023,8.7,-1.9991634287010451,6.700836571298954
CZ,2024,3.4,-2.5595027042201064,0.8404972957798935
CZ,2025,,,
DE,1960,6.8,5.893669242939476,12.693669242939475
DE,1961,4.4,6.882372328504996,11.282372328504996
DE,1962,5.0,6.604322793479767,11.604322793479767
DE,1963,4.1,6.656285264796843,10.756285264796842
DE,1964,5.2,7.2809569679404005,12.4809569679404
DE,1965,5.8,6.259019529625892,12.059019529625893
DE,1966,2.2,6.139037571316705,8.339037571316705
DE,1967,-2.9,5.554385406141803,2.654385406141803
DE,1968,,,
DE,1969,,,
DE,1970,-4.4,1.2413678849491778,-3.1586321150508225
DE,1971,,,
DE,1972,,,
DE,1973,,,
DE,1974,,,
DE,1975,-3.2,-2.399491220365381,-5.5994912203653815
DE,1976,,,
DE,1977,,,
DE,1978,,,
DE,1979,,,
DE,1980,5.1,-1.521175244433786,3.5788247555662136
DE,1981,,,
DE,1982,,,
DE,1983,-1.9,-2.017349563703475,-3.9173495637034748
DE,1984,-2.4,-1.8262450370611394,-4.2262450370611395
DE,1985,1.5,-1.9351750986121763,-0.4351750986121763
DE,1986,3.2,-1.2442872862639514,1.9557127137360488
DE,1987,2.3,-0.7426996665923078,1.557300333407692
DE,1988,7.9,-0.16749382357340112,7.732506176426599
DE,1989,15.8,-0.26238309932011294,15.537616900679888
DE,1990,16.3,0.22119038686540085,16.521190386865403
DE,1991,7.5,-1.0184666258081319,6.481533374191868
DE,1992,9.6,-0.9508491382151886,8.649150861784811
DE,1993,5.7,-1.2204192542671881,4.479580745732812
DE,1994,3.9,-1.414564759958166,2.485435240041834
DE,1995,4.9,-1.4639323658758294,3.436067634124171
DE,1996,3.4,-1.0612644123966684,2.3387355876033316
DE,1997,1.1,-0.5879128024938545,0.5120871975061456
DE,1998,0.6,-0.8207427634265531,-0.22074276342655308
DE,1999,2.5,-0.9213646265098566,1.5786353734901435
DE,2000,2.0,-0.8738432740338697,1.1261567259661303
DE,2001,3.3,-1.1435269392461955,2.1564730607538043
DE,2002,2.7,-1.4851472718279113,1.214852728172089
DE,2003,1.7,-1.7837523874233856,-0.08375238742338564
DE,2004,1.0,-1.3649184444599456,-0.3649184444599456
DE,2005,1.0,-1.7506728930753186,-0.7506728930753186
DE,2006,0.3,-1.8062423764673075,-1.5062423764673074
DE,2007,0.5,-1.7286419545932545,-1.2286419545932545
DE,2008,-0.7,-1.9694631470297619,-2.669463147029762
DE,2009,-0.1,-2.309909242119824,-2.409909242119824
DE,2010,1.6,-2.2104646819219185,-0.6104646819219184
DE,2011,3.7,-2.363975547126592,1.3360244528734082
DE,2012,4.9,-2.440472114918976,2.4595278850810245
DE,2013,5.6,-2.6297335943610967,2.970266405638903
DE,2014,7.2,-1.8996387196165863,5.300361280383414
DE,2015,14.3,-2.3107227993873756,11.989277200612625
DE,2016,5.6,-1.445208536384072,4.154791463615927
DE,2017,5.1,-1.7858464371769187,3.3141535628230807
DE,2018,4.8,-2.021334072274382,2.778665927725618
DE,2019,3.7,-1.9444896448247468,1.7555103551752533
DE,2020,2.4,-2.554243127397451,-0.15424312739745094
DE,2021,3.7,-2.7442115919600822,0.9557884080399179
DE,2022,2.5,-3.9348067816470933,-1.4348067816470933
DE,2023,8.1,-4.033001028254828,4.066998971745171
DE,2024,5.4,-3.9618580056124153,1.438141994387585
DE,2025,,,
DK,1960,-0.9,7.095897342105004,6.195897342105003
DK,1961,0.6,7.211755102040816,7.811755102040816
DK,1962,0.8,7.014392529501316,7.8143925295013155
DK,1963,0.1,7.852838155877551,7.952838155877551
DK,1964,0.3,7.770347274669497,8.070347274669498
DK,1965,-0.4,7.996611691015919,7.5966116910159185
DK,1966,0.4,8.16158207583606,8.56158207583606
DK,1967,0.3,6.968819028649497,7.268819028649497
DK,1968,-0.7,5.615745600315848,4.915745600315848
DK,1969,1.4,4.788998038264002,6.1889980382640015
DK,1970,4.3,4.599426605224137,8.899426605224136
DK,1971,-0.3,5.3530906771262785,5.053090677126279
DK,1972,1.4,5.036524854124674,6.436524854124674
DK,1973,1.4,4.267366518237106,5.667366518237106
DK,1974,-0.3,3.9097062378975824,3.6097062378975826
DK,1975,-2.0,4.189608678362063,2.189608678362063
DK,1976,0.7,2.2241468592365368,2.9241468592365365
DK,1977,1.1,2.2427699557410716,3.3427699557410717
DK,1978,1.1,1.7995043711358087,2.8995043711358086
DK,1979,1.1,0.9410085459618115,2.0410085459618115
DK,1980,0.1,0.26434650868350945,0.3643465086835095
DK,1981,-0.3,-0.6381746721158066,-0.9381746721158066
DK,1982,0.0,-0.5293842440793451,-0.5293842440793451
DK,1983,0.4,-1.2379643441251613,-0.8379643441251613
DK,1984,0.8,-1.0385103665204132,-0.23851036652041313
DK,1985,1.9,-0.9056744643235869,0.994325535676413
DK,1986,2.2,-0.5449279192099405,1.6550720807900596
DK,1987,1.2,-0.3736735564395369,0.826326443560463
DK,1988,0.1,-0.02729441747279429,0.07270558252720571
DK,1989,0.7,0.38091317012159204,1.080913170121592
DK,1990,1.7,0.48817922778886746,2.1881792277888676
DK,1991,2.1,0.9282092246159455,3.0282092246159458
DK,1992,2.2,1.3376271714406043,3.5376271714406045
DK,1993,2.2,0.8802045471830173,3.0802045471830173
DK,1994,2.0,1.6485645922886356,3.6485645922886354
DK,1995,5.5,1.2738418756535532,6.773841875653553
DK,1996,3.3,1.2559447894668985,4.555944789466898
DK,1997,2.3,1.469160612619123,3.769160612619123
DK,1998,2.1,1.4582066381358525,3.558206638135853
DK,1999,1.8,1.3294246041790683,3.1294246041790683
DK,2000,1.9,1.7069354336381477,3.6069354336381476
